,Tag,Zeit,Temp,Raum,Anzahl
134,1,16.0259037,12.0,Küche 5. OG,0.0
135,1,16.027607,21.0,Küche 5. OG,5.0
136,1,16.0293636,12.0,5C-15,0.0
137,1,16.03116,12.0,5C-15,0.0
156,1,16.6154728,12.0,5C-15,0.0
157,1,16.6163635,12.0,5C-15,0.0
158,1,16.6172523,21.0,Vorraum 5C-15,5.0
163,1,16.6269073,12.0,4C-01.1,0.0
188,1,16.7386017,21.0,5C-15,5.0
189,1,16.74032,12.0,5C-15,0.0
200,1,17.1130123,12.0,Vorraum 5C-15,0.0
203,1,17.1235676,12.0,4C-01.1,0.0
204,1,17.1253166,12.0,4C-01.1,0.0
205,1,17.12704,12.0,4C-01.1,0.0
206,1,17.1287651,12.0,4C-01.2,0.0
207,1,17.1305122,12.0,Flur 4. OG Übergang,0.0
208,2,8.875602,21.0,Flur 4. OG Übergang,5.0
209,2,8.877405,12.0,Flur 4. OG Übergang,0.0
210,2,8.879246,12.0,4C-01.2,0.0
211,2,8.88110352,12.0,4C-01.1,0.0
213,2,8.884896,12.0,4C-01.1,0.0
216,2,8.895398,12.0,5C-15,0.0
217,2,8.897111,12.0,5C-15,0.0
270,2,11.95366,12.0,5C-15,0.0
271,2,11.955328,12.0,5C-15,0.0
272,2,11.9571285,12.0,Vorraum 5C-15,0.0
273,2,11.9589434,21.0,5C-01.1,5.0
275,2,11.9859476,12.0,5C-01.1,0.0
276,2,11.9876852,12.0,Vorraum 5C-15,0.0
277,2,11.9894733,21.0,5C-15,5.0
278,2,11.9912453,12.0,5C-15,0.0
292,2,12.1399393,12.0,5C-15,0.0
293,2,12.1403122,12.0,5C-15,0.0
294,2,12.1417446,12.0,Vorraum 5C-15,0.0
295,2,12.1420937,12.0,Vorraum 5C-15,0.0
296,2,12.1435146,12.0,Vorraum 5C-15,0.0
297,2,12.143858,12.0,5C-01.1,0.0
298,2,12.7318382,12.0,Vorraum 5C-15,0.0
299,2,12.7336159,12.0,Vorraum 5C-15,0.0
300,2,12.7352905,12.0,5C-15,0.0
301,2,12.7370243,12.0,5C-15,0.0
344,2,13.9953775,21.0,5C-15,5.0
345,2,13.9970846,12.0,5C-15,0.0
346,2,13.9988918,12.0,Küche 5. OG,0.0
347,2,14.000618,12.0,Küche 5. OG,0.0
348,2,14.0221272,21.0,Küche 5. OG,5.0
349,2,14.0238161,12.0,Küche 5. OG,0.0
350,2,14.0255394,12.0,5C-15,0.0
351,2,14.0272427,12.0,5C-15,0.0
417,2,15.45031,12.0,5C-15,0.0
418,2,15.4519863,12.0,Vorraum 5C-15,0.0
439,2,15.5220737,21.0,5C-15,5.0
455,2,16.8546734,12.0,5C-15,0.0
456,2,16.85485,12.0,5C-15,0.0
457,2,16.8564224,12.0,Vorraum 5C-15,0.0
458,2,16.8565922,12.0,Vorraum 5C-15,0.0
459,2,16.85815,12.0,5C-01.1,0.0
460,2,16.858326,12.0,5C-01.1,0.0
465,2,16.8867722,12.0,5C-01.1,0.0
466,2,16.8871078,12.0,5C-01.1,0.0
467,2,16.888504,12.0,Vorraum 5C-15,0.0
468,2,16.8888664,12.0,Vorraum 5C-15,0.0
469,2,16.8902321,12.0,5C-15,0.0
470,2,16.89058,12.0,5C-15,0.0
471,2,16.89196,12.0,5C-15,0.0
488,2,17.29552,21.0,Vorraum 5C-15,5.0
489,2,17.2973137,21.0,Vorraum 5C-15,5.0
492,2,17.3081169,12.0,4C-01.1,0.0
493,2,17.3099251,12.0,4C-01.1,0.0
494,2,17.31166,12.0,4C-01.1,0.0
495,2,17.3134651,12.0,4C-01.2,0.0
496,2,17.3152275,12.0,Flur 4. OG Übergang,0.0
497,3,8.914441,12.0,Flur 4. OG Übergang,0.0
498,3,8.91617,12.0,Flur 4. OG Übergang,0.0
499,3,8.917965,12.0,4C-01.2,0.0
500,3,8.919688,12.0,4C-01.1,0.0
501,3,8.921407,12.0,4C-01.1,0.0
502,3,8.923144,12.0,4C-01.1,0.0
505,3,8.933651,12.0,5C-15,0.0
506,3,8.935389,12.0,5C-15,0.0
541,3,11.4430647,12.0,5C-15,0.0
542,3,11.4447651,12.0,5C-15,0.0
543,3,11.4465742,12.0,Vorraum 5C-15,0.0
544,3,11.4484177,12.0,5C-01.1,0.0
547,3,11.4772482,12.0,5C-01.1,0.0
548,3,11.4790525,21.0,Vorraum 5C-15,5.0
549,3,11.4807472,12.0,Vorraum 5C-15,0.0
550,3,11.4825974,12.0,5C-15,0.0
583,3,12.0109482,12.0,5C-15,0.0
584,3,12.0127659,21.0,5C-15,5.0
585,3,12.0145206,21.0,Vorraum 5C-15,5.0
586,3,12.1203041,12.0,Vorraum 5C-15,0.0
587,3,12.1220436,12.0,Vorraum 5C-15,0.0
588,3,12.1238194,12.0,Vorraum 5C-15,0.0
589,3,12.1255817,21.0,5C-15,5.0
590,3,12.1273661,12.0,5C-15,0.0
592,3,12.1381512,12.0,4C-01.1,0.0
593,3,12.1398764,12.0,4C-01.1,0.0
594,3,12.141675,12.0,4C-01.1,0.0
595,3,12.1436405,12.0,Flur 4. OG Übergang,0.0
596,3,12.1454144,12.0,Flur 4. OG Übergang,0.0
597,3,12.6653194,12.0,Flur 4. OG Übergang,0.0
598,3,12.6671391,12.0,Flur 4. OG Übergang,0.0
599,3,12.6688967,12.0,4C-01.2,0.0
600,3,12.6706381,12.0,4C-01.1,0.0
602,3,12.6740971,12.0,4C-01.1,0.0
605,3,12.6846151,12.0,5C-15,0.0
606,3,12.6863728,12.0,5C-15,0.0
607,3,12.6863728,12.0,5C-15,0.0
660,3,13.3045368,21.0,5C-15,5.0
663,3,13.3148479,12.0,4C-01.1,0.0
664,3,13.316658,12.0,4C-01.1,0.0
665,3,13.3184166,12.0,4C-01.1,0.0
666,3,13.3201418,12.0,4C-01.2,0.0
667,3,13.3218746,12.0,Flur 4. OG Übergang,0.0
668,3,13.3236008,12.0,4C-21,0.0
669,3,13.3253212,12.0,4C-21,0.0
670,3,13.327055,12.0,Küche 4. OG,0.0
671,3,13.3453045,12.0,Küche 4. OG,0.0
672,3,13.3470535,12.0,Küche 4. OG,0.0
673,3,13.3488159,12.0,4C-21,0.0
674,3,13.3506308,12.0,Flur 4. OG Übergang,0.0
675,3,13.3523111,12.0,Flur 4. OG Übergang,0.0
676,3,13.3540487,12.0,4C-01.1,0.0
677,3,13.3557453,12.0,4C-01.1,0.0
678,3,13.3574381,12.0,4C-01.1,0.0
679,3,13.3592453,12.0,4C-01.1,0.0
681,3,13.3679771,12.0,5C-15,0.0
682,3,13.3697109,12.0,5C-15,0.0
694,3,13.9543581,21.0,5C-15,5.0
695,3,13.9560833,12.0,Vorraum 5C-15,0.0
698,3,13.966671,12.0,4C-01.1,0.0
716,3,14.0251541,12.0,5C-15,0.0
717,3,14.0269413,12.0,5C-15,0.0
759,3,15.5987873,12.0,5C-15,0.0
760,3,15.60048,12.0,5C-15,0.0
761,3,15.6022825,12.0,Küche 5. OG,0.0
762,3,15.62181,12.0,Küche 5. OG,0.0
763,3,15.6235752,12.0,Küche 5. OG,0.0
764,3,15.6252518,21.0,5C-15,5.0
765,3,15.6269569,21.0,5C-15,5.0
782,3,16.34306,12.0,5C-15,0.0
783,3,16.3444748,12.0,5C-15,0.0
785,3,16.34622,12.0,Vorraum 5C-15,0.0
786,3,16.3465652,12.0,Vorraum 5C-15,0.0
787,3,16.34797,12.0,5C-01.1,0.0
788,3,16.3483124,12.0,5C-01.1,0.0
791,3,16.37491,12.0,5C-01.1,0.0
792,3,16.3751945,12.0,5C-01.1,0.0
793,3,16.3765831,12.0,Vorraum 5C-15,0.0
794,3,16.3769417,12.0,Vorraum 5C-15,0.0
795,3,16.3783646,12.0,Vorraum 5C-15,0.0
796,3,16.3787117,12.0,5C-15,0.0
797,3,16.38009,12.0,5C-15,0.0
798,3,16.3804855,21.0,5C-15,5.0
814,3,17.4583588,12.0,5C-15,0.0
815,3,17.4601479,12.0,Vorraum 5C-15,0.0
818,3,17.47084,12.0,4C-01.1,0.0
819,3,17.4725952,12.0,4C-01.1,0.0
821,3,17.476059,12.0,Flur 4. OG Übergang,0.0
822,3,17.477787,12.0,Flur 4. OG Übergang,0.0
823,6,8.862207,12.0,Flur 4. OG Übergang,0.0
824,6,8.863989,12.0,Flur 4. OG Übergang,0.0
825,6,8.865735,12.0,4C-01.2,0.0
826,6,8.867464,12.0,4C-01.1,0.0
828,6,8.871119,21.0,4C-01.1,5.0
830,6,8.881661,21.0,5C-15,5.0
831,6,8.883459,12.0,5C-15,0.0
842,6,11.2346964,12.0,5C-15,0.0
843,6,11.23645,12.0,Vorraum 5C-15,0.0
844,6,11.2382,12.0,5C-01.1,0.0
846,6,11.2652426,12.0,5C-01.1,0.0
847,6,11.267,12.0,Vorraum 5C-15,0.0
848,6,11.2687788,12.0,5C-15,0.0
849,6,11.2705326,12.0,5C-15,0.0
879,6,12.168644,12.0,5C-15,0.0
880,6,12.1701536,12.0,5C-15,0.0
881,6,12.1703453,12.0,5C-15,0.0
882,6,12.1718588,12.0,Vorraum 5C-15,0.0
883,6,12.1724167,12.0,Vorraum 5C-15,0.0
885,6,12.6284466,12.0,Vorraum 5C-15,0.0
886,6,12.63022,12.0,Vorraum 5C-15,0.0
887,6,12.63195,12.0,5C-15,0.0
899,6,14.0405674,12.0,5C-15,0.0
900,6,14.0423708,12.0,5C-15,0.0
901,6,14.0441818,21.0,Küche 5. OG,5.0
902,6,14.06204,21.0,Küche 5. OG,5.0
903,6,14.0637169,12.0,Küche 5. OG,0.0
904,6,14.0654745,12.0,5C-15,0.0
905,6,14.0671635,12.0,5C-15,0.0
917,6,14.2805014,12.0,5C-15,0.0
918,6,14.2821779,12.0,Vorraum 5C-15,0.0
939,6,14.345602,12.0,5C-15,0.0
940,6,14.3473063,12.0,5C-15,0.0
959,6,16.1352654,12.0,5C-15,0.0
960,6,16.1369553,21.0,5C-15,5.0
961,6,16.1387081,21.0,Vorraum 5C-15,5.0
962,6,16.1404343,12.0,5C-01.1,0.0
965,6,16.1690025,21.0,5C-01.1,5.0
966,6,16.17074,21.0,Vorraum 5C-15,5.0
967,6,16.1724567,12.0,5C-15,0.0
968,6,16.1742363,12.0,5C-15,0.0
1012,6,17.05738,12.0,5C-15,0.0
1013,6,17.0591068,12.0,Vorraum 5C-15,0.0
1016,6,17.0697346,21.0,4C-01.1,5.0
1017,6,17.0714684,21.0,4C-01.1,5.0
1018,6,17.07321,12.0,4C-01.1,0.0
1019,6,17.0749931,12.0,Flur 4. OG Übergang,0.0
1020,6,17.0767822,12.0,Flur 4. OG Übergang,0.0
1021,7,8.892709,12.0,Flur 4. OG Übergang,0.0
1022,7,8.894523,12.0,Flur 4. OG Übergang,0.0
1023,7,8.896281,12.0,4C-01.2,0.0
1024,7,8.89808,12.0,4C-01.1,0.0
1025,7,8.89979649,12.0,4C-01.1,0.0
1026,7,8.90153,21.0,4C-01.1,5.0
1029,7,8.912183,12.0,5C-15,0.0
1030,7,8.913916,12.0,5C-15,0.0
1042,7,12.0114746,12.0,5C-15,0.0
1043,7,12.013216,12.0,5C-15,0.0
1044,7,12.0149746,12.0,Vorraum 5C-15,0.0
1045,7,12.1281338,12.0,Vorraum 5C-15,0.0
1046,7,12.1299314,21.0,Vorraum 5C-15,5.0
1047,7,12.1316814,12.0,Vorraum 5C-15,0.0
1048,7,12.1334963,21.0,5C-15,5.0
1049,7,12.1352053,12.0,5C-15,0.0
1052,7,12.1478434,12.0,4C-01.1,0.0
1053,7,12.1495361,21.0,4C-01.1,5.0
1054,7,12.1513186,21.0,4C-01.1,5.0
1055,7,12.1530838,12.0,4C-01.2,0.0
1056,7,12.1548748,12.0,Flur 4. OG Übergang,0.0
1058,7,12.6596928,12.0,Flur 4. OG Übergang,0.0
1059,7,12.6613932,12.0,4C-01.2,0.0
1060,7,12.6631832,12.0,4C-01.1,0.0
1061,7,12.6649008,12.0,4C-01.1,0.0
1062,7,12.6666584,12.0,4C-01.1,0.0
1063,7,12.6684408,12.0,4C-01.1,0.0
1066,7,12.6773357,12.0,5C-15,0.0
1067,7,12.677515,12.0,5C-15,0.0
1068,7,12.6791344,12.0,5C-15,0.0
1069,7,12.6793137,12.0,5C-15,0.0
1090,7,12.7225666,12.0,5C-15,0.0
1091,7,12.7227383,12.0,5C-15,0.0
1092,7,12.72434,21.0,Vorraum 5C-15,5.0
1093,7,12.7245274,12.0,Vorraum 5C-15,0.0
1094,7,12.7261066,12.0,Vorraum 5C-15,0.0
1095,7,12.7262783,12.0,Vorraum 5C-15,0.0
1102,7,12.7481937,12.0,5C-01.1,0.0
1103,7,12.7488689,21.0,Vorraum 5C-15,5.0
1104,7,12.7499514,12.0,Vorraum 5C-15,0.0
1105,7,12.750659,12.0,Vorraum 5C-15,0.0
1106,7,12.751749,12.0,5C-15,0.0
1107,7,12.7523594,12.0,5C-15,0.0
1177,7,16.90804,12.0,5C-15,0.0
1178,7,16.9098148,12.0,5C-15,0.0
1179,7,16.9114838,12.0,5C-15,0.0
1180,7,16.9132881,12.0,Küche 5. OG,0.0
1181,7,16.9312172,12.0,Küche 5. OG,0.0
1182,7,16.9328861,12.0,Küche 5. OG,0.0
1183,7,16.9346924,12.0,Küche 5. OG,0.0
1184,7,16.9364433,12.0,5C-15,0.0
1185,7,16.9381256,12.0,5C-15,0.0
1253,7,17.60279,12.0,Vorraum 5C-15,0.0
1254,7,17.6045818,12.0,Vorraum 5C-15,0.0
1257,7,17.6137943,12.0,4C-01.1,0.0
1258,7,17.6155853,12.0,4C-01.1,0.0
1259,7,17.6173515,12.0,4C-01.1,0.0
1260,7,17.619133,12.0,4C-01.2,0.0
1261,7,17.6209068,12.0,Flur 4. OG Übergang,0.0
1262,8,8.881868,12.0,Flur 4. OG Übergang,0.0
1263,8,8.883586,12.0,Flur 4. OG Übergang,0.0
1264,8,8.885327,12.0,4C-01.2,0.0
1265,8,8.887101,21.0,4C-01.1,5.0
1266,8,8.888859,21.0,4C-01.1,5.0
1267,8,8.890625,21.0,4C-01.1,5.0
1269,8,8.901132,12.0,5C-15,0.0
1270,8,8.902913,12.0,5C-15,0.0
1291,8,11.68195,12.0,5C-15,0.0
1292,8,11.6837406,12.0,5C-15,0.0
1293,8,11.6855631,12.0,Vorraum 5C-15,0.0
1294,8,11.6873455,12.0,5C-01.1,0.0
1296,8,11.7141361,21.0,5C-01.1,5.0
1297,8,11.7159014,21.0,Vorraum 5C-15,5.0
1298,8,11.7177162,21.0,5C-15,5.0
1299,8,11.7194748,12.0,5C-15,0.0
1309,8,12.0989666,12.0,5C-15,0.0
1310,8,12.1007481,12.0,5C-15,0.0
1311,8,12.10249,12.0,Vorraum 5C-15,0.0
1312,8,12.1608639,12.0,Vorraum 5C-15,0.0
1314,8,12.1643963,12.0,5C-01.1,0.0
1315,8,12.1662436,12.0,Vorraum 5C-15,0.0
1316,8,12.1680832,12.0,5C-15,0.0
1319,8,12.1804934,12.0,4C-01.1,0.0
1320,8,12.182251,12.0,4C-01.1,0.0
1321,8,12.1839762,12.0,4C-01.1,0.0
1322,8,12.1857262,12.0,4C-01.2,0.0
1323,8,12.1875248,12.0,Flur 4. OG Übergang,0.0
1324,8,12.6501389,12.0,Flur 4. OG Übergang,0.0
1325,8,12.65188,12.0,Flur 4. OG Übergang,0.0
1326,8,12.6536617,12.0,4C-01.2,0.0
1327,8,12.6554279,21.0,4C-01.1,5.0
1329,8,12.65896,21.0,4C-01.1,5.0
1332,8,12.6696043,12.0,5C-15,0.0
1333,8,12.6714439,12.0,5C-15,0.0
1479,8,16.5833244,12.0,5C-15,0.0
1480,8,16.58488,12.0,5C-15,0.0
1481,8,16.5850582,21.0,5C-15,5.0
1482,8,16.586628,21.0,Vorraum 5C-15,5.0
1483,8,16.5868,12.0,Vorraum 5C-15,0.0
1484,8,16.5883636,21.0,5C-01.1,5.0
1485,8,16.5885334,21.0,5C-01.1,5.0
1488,8,16.6152267,12.0,5C-01.1,0.0
1489,8,16.615406,12.0,5C-01.1,0.0
1490,8,16.6169014,12.0,Vorraum 5C-15,0.0
1491,8,16.61708,12.0,Vorraum 5C-15,0.0
1492,8,16.6187325,12.0,5C-15,0.0
1493,8,16.6189117,12.0,5C-15,0.0
1494,8,16.6204987,12.0,5C-15,0.0
1495,8,16.6206856,12.0,5C-15,0.0
1548,8,17.6202469,12.0,5C-15,0.0
1549,8,17.621973,12.0,5C-15,0.0
1550,8,17.62373,21.0,Küche 5. OG,5.0
1551,8,17.6254559,12.0,Küche 5. OG,0.0
1552,8,17.6439133,12.0,Küche 5. OG,0.0
1553,8,17.6455879,12.0,Küche 5. OG,0.0
1554,8,17.6473713,12.0,5C-15,0.0
1555,8,17.64912,12.0,5C-15,0.0
1567,8,17.6716881,12.0,Vorraum 5C-15,0.0
1568,8,17.6735344,12.0,Vorraum 5C-15,0.0
1571,8,17.6840668,12.0,4C-01.1,0.0
1572,8,17.6858482,12.0,4C-01.1,0.0
1574,8,17.6893234,12.0,Flur 4. OG Übergang,0.0
1575,8,17.6910324,12.0,Flur 4. OG Übergang,0.0
1576,11,8.905192,12.0,Flur 4. OG Übergang,0.0
1577,11,8.906925,12.0,Flur 4. OG Übergang,0.0
1578,11,8.90865,12.0,4C-01.2,0.0
1579,11,8.910417,21.0,4C-01.1,5.0
1580,11,8.91215,12.0,4C-01.1,0.0
1581,11,8.913892,12.0,4C-01.1,0.0
1583,11,8.924381,21.0,5C-15,5.0
1584,11,8.926106,12.0,5C-15,0.0
1625,11,11.4499187,12.0,5C-15,0.0
1626,11,11.4517088,12.0,Vorraum 5C-15,0.0
1627,11,11.4535236,12.0,Vorraum 5C-15,0.0
1628,11,11.4553223,12.0,5C-01.1,0.0
1630,11,11.4823408,12.0,5C-01.1,0.0
1631,11,11.4841557,12.0,Vorraum 5C-15,0.0
1632,11,11.4858561,12.0,5C-15,0.0
1633,11,11.4876385,12.0,5C-15,0.0
1644,11,11.6569576,12.0,5C-15,0.0
1645,11,11.6586428,12.0,5C-15,0.0
1646,11,11.6604328,12.0,Küche 5. OG,0.0
1647,11,11.66228,21.0,Küche 5. OG,5.0
1648,11,11.7443361,21.0,Küche 5. OG,5.0
1649,11,11.7461348,21.0,Küche 5. OG,5.0
1650,11,11.7479086,12.0,5C-15,0.0
1651,11,11.749691,12.0,5C-15,0.0
1668,11,12.029541,12.0,5C-15,0.0
1669,11,12.0306234,12.0,Vorraum 5C-15,0.0
1670,11,12.0313644,12.0,Vorraum 5C-15,0.0
1674,11,12.0403652,12.0,4C-01.1,0.0
1675,11,12.04152,12.0,4C-01.1,0.0
1676,11,12.0421066,21.0,4C-01.1,5.0
1677,11,12.0432129,12.0,4C-01.1,0.0
1678,11,12.0443277,12.0,4C-01.1,0.0
1679,11,12.0448818,12.0,4C-01.2,0.0
1680,11,12.0460281,12.0,4C-01.2,0.0
1681,11,12.0466557,12.0,4C-01.2,0.0
1682,11,12.0477219,12.0,Flur 4. OG Übergang,0.0
1683,11,12.0484133,12.0,Flur 4. OG Übergang,0.0
1684,11,12.6599121,12.0,Flur 4. OG Übergang,0.0
1685,11,12.6615887,12.0,Flur 4. OG Übergang,0.0
1686,11,12.6633787,12.0,4C-01.2,0.0
1687,11,12.6651449,12.0,4C-01.1,0.0
1689,11,12.6687746,12.0,4C-01.1,0.0
1692,11,12.6797276,12.0,5C-15,0.0
1693,11,12.6814041,12.0,5C-15,0.0
1739,11,14.3135738,12.0,5C-15,0.0
1740,11,14.3153324,12.0,Vorraum 5C-15,0.0
1761,11,14.3849125,12.0,5C-15,0.0
1762,11,14.3866863,12.0,5C-15,0.0
1773,11,14.480257,12.0,5C-15,0.0
1776,11,14.4907227,12.0,4C-01.1,0.0
1794,11,15.126709,12.0,5C-15,0.0
1841,11,16.3537178,12.0,5C-15,0.0
1842,11,16.3540936,12.0,5C-15,0.0
1843,11,16.355526,12.0,Vorraum 5C-15,0.0
1844,11,16.3558769,12.0,Vorraum 5C-15,0.0
1845,11,16.3573322,12.0,5C-01.1,0.0
1846,11,16.3576984,12.0,5C-01.1,0.0
1851,11,16.3860016,12.0,5C-01.1,0.0
1852,11,16.3870525,12.0,5C-01.1,0.0
1853,11,16.3876953,12.0,Vorraum 5C-15,0.0
1854,11,16.3887615,12.0,Vorraum 5C-15,0.0
1856,11,16.3905449,12.0,5C-15,0.0
1857,11,16.391243,12.0,5C-15,0.0
1883,11,17.6393318,12.0,5C-15,0.0
1884,11,17.6411133,12.0,Vorraum 5C-15,0.0
1887,11,17.6516838,12.0,4C-01.1,0.0
1888,11,17.653532,12.0,4C-01.1,0.0
1889,11,17.6553535,12.0,4C-01.1,0.0
1890,11,17.6571465,12.0,4C-01.2,0.0
1891,11,17.65891,12.0,Flur 4. OG Übergang,0.0
1892,12,8.875936,12.0,Flur 4. OG Übergang,0.0
1893,12,8.877808,12.0,Flur 4. OG Übergang,0.0
1894,12,8.879565,12.0,4C-01.2,0.0
1895,12,8.881339,12.0,4C-01.1,0.0
1897,12,8.884929,12.0,4C-01.1,0.0
1900,12,8.895427,21.0,5C-15,5.0
1901,12,8.897168,12.0,5C-15,0.0
1913,12,10.4969893,12.0,5C-15,0.0
1914,12,10.4987469,21.0,Vorraum 5C-15,5.0
1915,12,10.5005941,21.0,Vorraum 5C-15,5.0
1916,12,10.5023928,21.0,5C-01.1,5.0
1918,12,10.5292482,12.0,5C-01.1,0.0
1919,12,10.5310793,12.0,Vorraum 5C-15,0.0
1921,12,10.5347652,12.0,5C-15,0.0
1933,12,12.0403805,12.0,5C-15,0.0
1934,12,12.0421543,12.0,Vorraum 5C-15,0.0
1935,12,12.118782,12.0,Vorraum 5C-15,0.0
1936,12,12.1205654,12.0,Vorraum 5C-15,0.0
1937,12,12.1223965,12.0,Vorraum 5C-15,0.0
1938,12,12.12421,12.0,5C-15,0.0
1941,12,12.134798,21.0,4C-01.1,5.0
1942,12,12.1366367,21.0,4C-01.1,5.0
1943,12,12.1383057,12.0,4C-01.1,0.0
1944,12,12.1400881,12.0,4C-01.2,0.0
1945,12,12.1419029,12.0,Flur 4. OG Übergang,0.0
1946,12,12.6212158,12.0,Flur 4. OG Übergang,0.0
1947,12,12.6236,12.0,Flur 4. OG Übergang,0.0
1948,12,12.6258707,21.0,4C-01.2,5.0
1949,12,12.6277018,12.0,4C-01.1,0.0
1950,12,12.629427,21.0,4C-01.1,5.0
1953,12,12.6402512,21.0,5C-15,5.0
1954,12,12.6419926,21.0,5C-15,5.0
1993,12,14.6408043,12.0,5C-15,0.0
1996,12,14.6515055,21.0,4C-01.1,5.0
1997,12,14.65328,12.0,4C-01.1,0.0
1998,12,14.6550541,12.0,4C-01.1,0.0
1999,12,14.6568031,12.0,4C-01.2,0.0
2000,12,14.6585941,12.0,Flur 4. OG Übergang,0.0
2001,12,14.6603842,12.0,4C-21,0.0
2002,12,14.6621742,12.0,4C-21,0.0
2003,12,14.6863279,12.0,Küche 4. OG,0.0
2004,12,14.6880617,12.0,Küche 4. OG,0.0
2005,12,14.6898117,12.0,4C-21,0.0
2006,12,14.691577,12.0,Flur 4. OG Übergang,0.0
2007,12,14.6933107,12.0,Flur 4. OG Übergang,0.0
2008,12,14.69515,12.0,4C-01.1,0.0
2009,12,14.696867,12.0,4C-01.1,0.0
2010,12,14.6986008,21.0,4C-01.1,5.0
2011,12,14.700285,12.0,4C-01.1,0.0
2014,12,14.7099934,12.0,5C-15,0.0
2015,12,14.7117348,12.0,5C-15,0.0
2030,12,15.39996,12.0,5C-15,0.0
2031,12,15.39996,12.0,5C-15,0.0
2032,12,15.4017172,12.0,Vorraum 5C-15,0.0
2033,12,15.4017172,12.0,Vorraum 5C-15,0.0
2034,12,15.40345,12.0,Vorraum 5C-15,0.0
2035,12,15.40345,21.0,Vorraum 5C-15,5.0
2040,12,15.4320393,12.0,5C-01.1,0.0
2041,12,15.4320393,12.0,5C-01.1,0.0
2042,12,15.4337978,12.0,Vorraum 5C-15,0.0
2043,12,15.4337978,12.0,Vorraum 5C-15,0.0
2044,12,15.4355631,12.0,5C-15,0.0
2045,12,15.4355631,12.0,5C-15,0.0
2046,12,15.43737,12.0,5C-15,0.0
2047,12,15.43737,12.0,5C-15,0.0
2062,12,17.2004242,12.0,5C-15,0.0
2065,12,17.21101,12.0,4C-01.1,0.0
2066,12,17.2127934,12.0,4C-01.1,0.0
2067,12,17.2146072,12.0,4C-01.1,0.0
2068,12,17.2163811,12.0,4C-01.2,0.0
2069,12,17.2181969,12.0,Flur 4. OG Übergang,0.0
2070,13,8.864388,12.0,Flur 4. OG Übergang,0.0
2071,13,8.866105,12.0,Flur 4. OG Übergang,0.0
2072,13,8.867911,12.0,4C-01.2,0.0
2073,13,8.869678,12.0,4C-01.1,0.0
2075,13,8.873128,12.0,4C-01.1,0.0
2077,13,8.88352,12.0,5C-15,0.0
2078,13,8.885286,12.0,5C-15,0.0
2089,13,9.315161,12.0,5C-15,0.0
2090,13,9.316902,12.0,5C-15,0.0
2091,13,9.318661,12.0,Vorraum 5C-15,0.0
