<<<<<<< HEAD
,room,coor,floor
18,Treppenhaus_4OG,"[(20.233, 10.865), (37.279, 10.865), (37.279, 7.5), (34.942, 7.5), (33.829, 6.121), (32.402, 5.067), (30.758, 4.4061), (29.0, 4.181), (27.242, 4.4061), (25.597, 5.067), (24.171, 6.121), (23.058, 7.5), (20.233, 7.5), (20.233, 10.865)]",0
19,Flur_4G,"[(16.395, 11.338), (17.572, 11.338), (27.634, 26.368), (27.634, 27.501), (29.94, 27.501), (29.94, 26.3), (40.123, 11.749), (41.3, 11.749), (41.3, 7.5), (37.429, 7.5), (37.429, 10.865), (36.878, 12.861), (35.874, 14.672), (34.473, 16.197), (32.754, 17.352), (30.812, 18.071), (28.756, 18.316), (26.7, 18.071), (24.758, 17.352), (23.039, 16.197), (21.638, 14.672), (20.634, 12.861), (20.083, 10.865), (20.083, 7.5), (16.387, 7.5), (16.395, 11.338)]",0
20,Raum_5C_01_1,"[(8.8548, 13.128), (17.456, 25.879), (24.134, 21.409), (17.483, 11.475), (11.3, 11.475), (8.8548, 13.128)]",1
21,Raum_5C_01_2,"[(17.577, 26.06), (22.867, 33.901), (27.475, 31.155), (27.475, 26.4), (24.255, 21.589), (17.577, 26.06)]",1
22,Raum_5C_02_1,"[(22.951, 34.026), (29.0, 42.944), (36.0, 32.616), (29.94, 28.529), (29.94, 27.651), (27.625, 27.651), (27.625, 31.24), (22.951, 34.026)]",1
23,Raum_5C_02_2,"[(30.09, 26.4), (30.09, 28.449), (36.084, 32.492), (40.17, 26.435), (33.411, 21.68), (30.09, 26.4)]",1
24,Raum_5C_03_1,"[(33.497, 21.557), (40.254, 26.31), (42.892, 22.399), (36.118, 17.83), (33.497, 21.557)]",1
25,Raum_5C_03_2,"[(36.205, 17.708), (42.976, 22.275), (47.525, 15.529), (42.144, 11.899), (40.29, 11.899), (36.205, 17.708)]",1
26,Raum_5C_04,"[(41.45, 7.5), (41.45, 11.749), (42.19, 11.749), (47.609, 15.405), (52.941, 7.5), (41.45, 7.5)]",1
27,Raum_5C_05_2,"[(41.45, 7.35), (53.042, 7.35), (58.0, 0.0), (41.45, 0.0), (41.45, 7.35)]",1
28,Raum_5C_05_3,"[(37.429, 4.7028), (41.3, 4.7028), (41.3, 0.0), (37.429, 0.0), (37.429, 4.7028)]",1
29,Vorraum_5C_05_3,"[(37.429, 7.35), (41.3, 7.35), (41.3, 4.8528), (37.429, 4.8528), (37.429, 7.35)]",1
30,Herren_WC_5OG,"[(29.075, 4.0385), (30.827, 4.276), (32.467, 4.939), (33.893, 5.9849), (35.017, 7.35), (37.279, 7.35), (37.279, 0.0), (29.075, 0.0), (29.075, 4.0385)]",1
31,Damen_WC_5OG,"[(20.233, 7.35), (22.983, 7.35), (24.107, 5.9849), (25.533, 4.939), (27.173, 4.2765), (28.925, 4.0385), (28.925, 0.0), (24.609, 0.0), (24.609, 3.0671), (20.233, 3.0671), (20.233, 7.35)]",1
32,Kueche_5OG,"[(12.368, 7.35), (20.083, 7.35), (20.083, 2.9171), (24.459, 2.9171), (24.459, 0.0), (12.368, 0.0), (12.368, 7.35)]",1
33,Raum_5C_15,"[(4.9576, 7.35), (12.218, 7.35), (12.218, 0.0), (0.0, 0.0), (4.9576, 7.35)]",1
34,Vorraum_5C_15,"[(8.771, 13.004), (11.27, 11.338), (16.245, 11.338), (16.237, 7.4777), (5.0588, 7.5), (8.771, 13.004)]",1
35,Treppenhaus_5OG,"[(20.233, 10.865), (37.279, 10.865), (37.279, 7.5), (34.942, 7.5), (33.829, 6.121), (32.402, 5.067), (30.758, 4.4061), (29.0, 4.181), (27.242, 4.4061), (25.597, 5.067), (24.171, 6.121), (23.058, 7.5), (20.233, 7.5), (20.233, 10.865)]",1
36,Flur_5G,"[(16.395, 11.338), (17.572, 11.338), (27.634, 26.368), (27.634, 27.501), (29.94, 27.501), (29.94, 26.3), (40.123, 11.749), (41.3, 11.749), (41.3, 7.5), (37.429, 7.5), (37.429, 10.865), (36.878, 12.861), (35.874, 14.672), (34.473, 16.197), (32.754, 17.352), (30.812, 18.071), (28.756, 18.316), (26.7, 18.071), (24.758, 17.352), (23.039, 16.197), (21.638, 14.672), (20.634, 12.861), (20.083, 10.865), (20.083, 7.5), (16.387, 7.5), (16.395, 11.338)]",1
37,Treppe,"[(20.27, 11.085), (22.08, 15.003), (25.562, 17.554), (31.95, 17.554), (35.432, 15.003), (37.242, 11.085), (20.27, 11.085)]",1
=======
,room,coor,floor
0,Flur_4OG_Uebergang,"[(-7.2443, 11.34), (16.249, 11.34), (16.256, 7.5219), (-7.2443, 7.4825), (-7.2443, 11.34)]",0
1,Raum_4C_01_1,"[(-7.094, 18.196), (2.057, 18.196), (2.057, 11.49), (-7.094, 11.49), (-7.094, 18.196)]",0
2,Raum_4C_01_2,"[(2.207, 18.196), (5.74, 18.196), (5.74, 11.49), (2.207, 11.49), (2.207, 18.196)]",0
3,Raum_4C_02,"[(5.89, 18.196), (12.273, 18.196), (13.136, 19.474), (19.834, 14.956), (17.497, 11.49), (5.89, 11.49), (5.89, 18.196)]",0
4,Raum_4C_03,"[(13.219, 19.599), (17.461, 25.887), (24.16, 21.369), (19.918, 15.08), (13.219, 19.599)]",0
5,Raum_4C_04,"[(17.577, 26.06), (22.867, 33.901), (27.475, 31.155), (27.475, 26.4), (24.255, 21.589), (17.577, 26.06)]",0
6,Raum_4C_05,"[(22.951, 34.026), (29.0, 42.944), (34.775, 34.432), (29.94, 31.171), (29.94, 27.651), (27.625, 27.651), (27.625, 31.24), (22.951, 34.026)]",0
7,Raum_4C_06,"[(30.09, 26.4), (30.09, 31.091), (34.859, 34.308), (40.17, 26.435), (33.411, 21.68), (30.09, 26.4)]",0
8,Raum_4C_07_1,"[(32.222, 23.369), (39.015, 28.157), (41.723, 24.132), (34.915, 19.541), (32.222, 23.369)]",0
9,Raum_5C_07_2,"[(35.002, 19.418), (41.807, 24.008), (44.566, 19.917), (37.841, 15.381), (35.002, 19.418)]",0
10,Raum_4C_08,"[(37.927, 15.259), (44.65, 19.793), (49.974, 11.899), (40.29, 11.899), (37.927, 15.259)]",0
11,Raum_4C_09,"[(41.49, 11.749), (50.075, 11.749), (52.941, 7.5), (41.45, 7.5), (41.49, 11.749)]",0
12,Raum_4C_10,"[(45.386, 7.35), (53.042, 7.35), (58.0, 0.0), (45.386, 0.0), (45.386, 7.35)]",0
13,Raum_4C_11,"[(37.429, 7.35), (45.236, 7.35), (45.236, 0.0), (37.429, 0.0), (37.429, 7.35)]",0
14,Herren_WC_4OG,"[(29.075, 4.0385), (30.827, 4.276), (32.467, 4.939), (33.893, 5.9849), (35.017, 7.35), (37.279, 7.35), (37.279, 0.0), (29.075, 0.0), (29.075, 4.0385)]",0
15,Damen_WC_4OG,"[(20.233, 7.35), (22.983, 7.35), (24.107, 5.9849), (25.533, 4.939), (27.173, 4.2765), (28.925, 4.0385), (28.925, 0.0), (24.609, 0.0), (24.609, 3.0671), (20.233, 3.0671), (20.233, 7.35)]",0
16,Kueche_4OG,"[(12.368, 7.35), (20.083, 7.35), (20.083, 2.9171), (24.459, 2.9171), (24.459, 0.0), (12.368, 0.0), (12.368, 7.35)]",0
17,Raum_4C_21,"[(4.9576, 7.35), (12.218, 7.35), (12.218, 0.0), (0.0, 0.0), (4.9576, 7.35)]",0
18,Treppenhaus_4OG,"[(20.233, 10.865), (37.279, 10.865), (37.279, 7.5), (34.942, 7.5), (33.829, 6.121), (32.402, 5.067), (30.758, 4.4061), (29.0, 4.181), (27.242, 4.4061), (25.597, 5.067), (24.171, 6.121), (23.058, 7.5), (20.233, 7.5), (20.233, 10.865)]",0
19,Flur_4G,"[(16.395, 11.338), (17.572, 11.338), (27.634, 26.368), (27.634, 27.501), (29.94, 27.501), (29.94, 26.3), (40.123, 11.749), (41.3, 11.749), (41.3, 7.5), (37.429, 7.5), (37.429, 10.865), (36.878, 12.861), (35.874, 14.672), (34.473, 16.197), (32.754, 17.352), (30.812, 18.071), (28.756, 18.316), (26.7, 18.071), (24.758, 17.352), (23.039, 16.197), (21.638, 14.672), (20.634, 12.861), (20.083, 10.865), (20.083, 7.5), (16.387, 7.5), (16.395, 11.338)]",0
20,Raum_5C_01_1,"[(8.8548, 13.128), (17.456, 25.879), (24.134, 21.409), (17.483, 11.475), (11.3, 11.475), (8.8548, 13.128)]",1
21,Raum_5C_01_2,"[(17.577, 26.06), (22.867, 33.901), (27.475, 31.155), (27.475, 26.4), (24.255, 21.589), (17.577, 26.06)]",1
22,Raum_5C_02_1,"[(22.951, 34.026), (29.0, 42.944), (36.0, 32.616), (29.94, 28.529), (29.94, 27.651), (27.625, 27.651), (27.625, 31.24), (22.951, 34.026)]",1
23,Raum_5C_02_2,"[(30.09, 26.4), (30.09, 28.449), (36.084, 32.492), (40.17, 26.435), (33.411, 21.68), (30.09, 26.4)]",1
24,Raum_5C_03_1,"[(33.497, 21.557), (40.254, 26.31), (42.892, 22.399), (36.118, 17.83), (33.497, 21.557)]",1
25,Raum_5C_03_2,"[(36.205, 17.708), (42.976, 22.275), (47.525, 15.529), (42.144, 11.899), (40.29, 11.899), (36.205, 17.708)]",1
26,Raum_5C_04,"[(41.45, 7.5), (41.45, 11.749), (42.19, 11.749), (47.609, 15.405), (52.941, 7.5), (41.45, 7.5)]",1
27,Raum_5C_05_2,"[(41.45, 7.35), (53.042, 7.35), (58.0, 0.0), (41.45, 0.0), (41.45, 7.35)]",1
28,Raum_5C_05_3,"[(37.429, 4.7028), (41.3, 4.7028), (41.3, 0.0), (37.429, 0.0), (37.429, 4.7028)]",1
29,Vorraum_5C_05_3,"[(37.429, 7.35), (41.3, 7.35), (41.3, 4.8528), (37.429, 4.8528), (37.429, 7.35)]",1
30,Herren_WC_5OG,"[(29.075, 4.0385), (30.827, 4.276), (32.467, 4.939), (33.893, 5.9849), (35.017, 7.35), (37.279, 7.35), (37.279, 0.0), (29.075, 0.0), (29.075, 4.0385)]",1
31,Damen_WC_5OG,"[(20.233, 7.35), (22.983, 7.35), (24.107, 5.9849), (25.533, 4.939), (27.173, 4.2765), (28.925, 4.0385), (28.925, 0.0), (24.609, 0.0), (24.609, 3.0671), (20.233, 3.0671), (20.233, 7.35)]",1
32,Kueche_5OG,"[(12.368, 7.35), (20.083, 7.35), (20.083, 2.9171), (24.459, 2.9171), (24.459, 0.0), (12.368, 0.0), (12.368, 7.35)]",1
33,Raum_5C_15,"[(4.9576, 7.35), (12.218, 7.35), (12.218, 0.0), (0.0, 0.0), (4.9576, 7.35)]",1
34,Vorraum_5C_15,"[(8.771, 13.004), (11.27, 11.338), (16.245, 11.338), (16.237, 7.4777), (5.0588, 7.5), (8.771, 13.004)]",1
35,Treppenhaus_5OG,"[(20.233, 10.865), (37.279, 10.865), (37.279, 7.5), (34.942, 7.5), (33.829, 6.121), (32.402, 5.067), (30.758, 4.4061), (29.0, 4.181), (27.242, 4.4061), (25.597, 5.067), (24.171, 6.121), (23.058, 7.5), (20.233, 7.5), (20.233, 10.865)]",1
36,Flur_5G,"[(16.395, 11.338), (17.572, 11.338), (27.634, 26.368), (27.634, 27.501), (29.94, 27.501), (29.94, 26.3), (40.123, 11.749), (41.3, 11.749), (41.3, 7.5), (37.429, 7.5), (37.429, 10.865), (36.878, 12.861), (35.874, 14.672), (34.473, 16.197), (32.754, 17.352), (30.812, 18.071), (28.756, 18.316), (26.7, 18.071), (24.758, 17.352), (23.039, 16.197), (21.638, 14.672), (20.634, 12.861), (20.083, 10.865), (20.083, 7.5), (16.387, 7.5), (16.395, 11.338)]",1
37,Treppe,"[(20.27, 11.085), (22.08, 15.003), (25.562, 17.554), (31.95, 17.554), (35.432, 15.003), (37.242, 11.085), (20.27, 11.085)]",1
>>>>>>> 48356b7e9e2c429c30e06ae92529e55b235f8c67
